estu_consecutivo_sb11,periodo_sb11,estu_consecutivo_sbpro,periodo_sbpro
SB11201220315901,20122,EK201830010563,20183
SB1120082285412370,20082,EK201830010564,20183
SB11201120060015,20112,EK201830010565,20183
SB11201120317723,20112,EK201830010566,20183
SB11201220364302,20122,EK201830010567,20183
SB11201220572804,20122,EK201830010589,20183
SB11201120399144,20112,EK201830010590,20183
SB1120082107789021,20082,EK201830010592,20183
SB11201220344416,20122,EK201830010593,20183
SB11201310055338,20131,EK201830010594,20183
SB11201220391804,20122,EK201830010595,20183
SB11201020317710,20102,EK201830010596,20183
SB11201220313173,20122,EK201830010598,20183
SB1120092516634374,20092,EK201830010599,20183
SB11201220317981,20122,EK201830010600,20183
SB11201220324911,20122,EK201830010601,20183
SB11201220360553,20122,EK201830010602,20183
SB11201020410710,20102,EK201830010603,20183
SB11201320073746,20132,EK201830010604,20183
SB11201320235720,20132,EK201830010605,20183
SB11201220489661,20122,EK201830010606,20183
SB11201220329814,20122,EK201830010607,20183
SB11201120323239,20112,EK201830010609,20183
SB11201120305532,20112,EK201830010610,20183
SB1120082317993443,20082,EK201830010612,20183
SB11201320108930,20132,EK201830010613,20183
SB1120092319726699,20092,EK201830010614,20183
SB11201320355040,20132,EK201830010616,20183
SB11201020400648,20102,EK201830010617,20183
SB11201120478459,20112,EK201830010618,20183
SB1120082314925933,20082,EK201830010619,20183
SB11201220397374,20122,EK201830010620,20183
SB11201220056710,20122,EK201830010621,20183
SB11201220319763,20122,EK201830010623,20183
SB11201220364811,20122,EK201830010625,20183
SB11201310080184,20131,EK201830010626,20183
SB11201120361038,20112,EK201830010627,20183
SB11201120362273,20112,EK201830010628,20183
SB11201020012134,20102,EK201830010629,20183
SB11201020517357,20102,EK201830010630,20183
SB11201220256470,20122,EK201830010631,20183
SB1120082328246464,20082,EK201830010632,20183
SB11201220323874,20122,EK201830010633,20183
SB11201020296224,20102,EK201830010634,20183
SB1120082121944321,20082,EK201830010635,20183
SB11201220351630,20122,EK201830010636,20183
SB11201120321990,20112,EK201830010637,20183
SB1120082434560945,20082,EK201830010638,20183
SB11201320179890,20132,EK201830010639,20183
SB11201120337093,20112,EK201830010924,20183
SB11201220334726,20122,EK201830010925,20183
SB11201020498078,20102,EK201830010927,20183
SB11201020320737,20102,EK201830010928,20183
SB1120082159341744,20082,EK201830010929,20183
SB112009210367637,20092,EK201830010932,20183
SB1120092142344133,20092,EK201830010933,20183
SB11201220327275,20122,EK201830010934,20183
SB11201020321501,20102,EK201830010936,20183
SB11201120496877,20112,EK201830010937,20183
SB11201220536236,20122,EK201830010938,20183
SB11201120345528,20112,EK201830010939,20183
SB11201120577173,20112,EK201830010940,20183
SB11201120330474,20112,EK201830010941,20183
SB11201020338236,20102,EK201830010942,20183
SB1120092090247891,20092,EK201830010943,20183
SB11201020317697,20102,EK201830010944,20183
SB1120072322272660,20072,EK201830010945,20183
SB11201120276588,20112,EK201830010946,20183
SB11201120467304,20112,EK201830010947,20183
SB11201220528088,20122,EK201830010948,20183
SB11201020332545,20102,EK201830010949,20183
SB11201020298879,20102,EK201830010950,20183
SB11201020324975,20102,EK201830010951,20183
SB1120072093940582,20072,EK201830010952,20183
SB11201220284148,20122,EK201830010953,20183
SB1120092039016132,20092,EK201830010954,20183
SB11201020294502,20102,EK201830010955,20183
SB1120092319418059,20092,EK201830010956,20183
SB11201120354510,20112,EK201830011255,20183
SB11201120288898,20112,EK201830011278,20183
SB1120082303147369,20082,EK201830011363,20183
SB11201220351143,20122,EK201830011374,20183
SB1120092155837889,20092,EK201830011569,20183
SB11201020325537,20102,EK201830012381,20183
SB11201320052998,20132,EK201830012408,20183
SB11201420108427,20142,EK201830012414,20183
SB11201120253588,20112,EK201830012447,20183
SB1120002117575171,20002,EK201830012536,20183
SB11201320280923,20132,EK201830012549,20183
SB1120072207991159,20072,EK201830012566,20183
SB11201220466107,20122,EK201830012639,20183
SB11201310020861,20131,EK201830012655,20183
SB11201420163282,20142,EK201830012695,20183
SB11201320508294,20132,EK201830012711,20183
SB11201320022031,20132,EK201830012812,20183
SB1120002101082633,20002,EK201830012868,20183
SB11201220567580,20122,EK201830013028,20183
SB1120052520444165,20052,EK201830013029,20183
SB11201420062652,20142,EK201830013036,20183
SB11201220498778,20122,EK201830013146,20183
SB11201420085481,20142,EK201830013163,20183
SB1120082333130393,20082,EK201830013185,20183
SB11201420036953,20142,EK201830013242,20183
SB11201310048913,20131,EK201830013263,20183
SB1120032193868775,20032,EK201830013280,20183
SB11201310004551,20131,EK201830013296,20183
SB11201220073231,20122,EK201830013365,20183
SB11201120319296,20112,EK201830013377,20183
SB1120022324224561,20022,EK201830013393,20183
SB112008214471686,20082,EK201830013401,20183
SB1120092163570588,20092,EK201830013407,20183
SB1120082373643633,20082,EK201830013415,20183
SB11201120316663,20112,EK201830013425,20183
SB11201120346026,20112,EK201830013442,20183
SB11201320048152,20132,EK201830013448,20183
SB11201320562100,20132,EK201830013458,20183
SB11201420068398,20142,EK201830013477,20183
SB11201320188911,20132,EK201830013511,20183
SB1120092319629255,20092,EK201830013524,20183
SB1120092377767912,20092,EK201830013550,20183
SB11201220463567,20122,EK201830013558,20183
SB11201220334373,20122,EK201830013559,20183
SB11201220300177,20122,EK201830013586,20183
SB1120062309543794,20062,EK201830013587,20183
SB1120092102226888,20092,EK201830013594,20183
SB11201020528199,20102,EK201830013610,20183
SB1120082050671774,20082,EK201830013676,20183
SB11201420050316,20142,EK201830013681,20183
SB1120042153403155,20042,EK201830013682,20183
SB11201420071174,20142,EK201830013688,20183
SB11201320173408,20132,EK201830013713,20183
SB11201120330607,20112,EK201830013735,20183
SB1120082173168621,20082,EK201830013749,20183
SB11201120329355,20112,EK201830013777,20183
SB1120092127825844,20092,EK201830013904,20183
SB11201220283296,20122,EK201830013939,20183
SB11201120500759,20112,EK201830013962,20183
SB11201220335591,20122,EK201830013995,20183
SB1120072270807135,20072,EK201830014007,20183
SB11201320183714,20132,EK201830014086,20183
SB11201310022259,20131,EK201830014275,20183
SB11201510019860,20151,EK201830014299,20183
SB11201410030363,20141,EK201830014346,20183
SB1120072019355724,20072,EK201830014532,20183
SB11201410002917,20141,EK201830015479,20183
SB11201120448230,20112,EK201830015923,20183
SB11201120345935,20112,EK201830016029,20183
SB11201410002675,20141,EK201830016051,20183
SB11201310002680,20131,EK201830016096,20183
SB11201320093500,20132,EK201830016118,20183
SB11201310014368,20131,EK201830016126,20183
SB11201320196764,20132,EK201830016166,20183
SB11201220339150,20122,EK201830016350,20183
SB11201410062200,20141,EK201830016362,20183
SB11201410012314,20141,EK201830016368,20183
SB11201220400003,20122,EK201830016518,20183
SB11201220335412,20122,EK201830016531,20183
SB11201220327991,20122,EK201830016544,20183
SB11201310005313,20131,EK201830016614,20183
SB11201220476786,20122,EK201830016658,20183
SB11201120033276,20112,EK201830016794,20183
SB11201420045802,20142,EK201830016795,20183
SB11201220316685,20122,EK201830016849,20183
SB11201410009632,20141,EK201830016863,20183
SB11201420053537,20142,EK201830016896,20183
SB11201320197884,20132,EK201830016912,20183
SB11201320175519,20132,EK201830016958,20183
SB1120002160971884,20002,EK201830016971,20183
SB11201320569424,20132,EK201830017072,20183
SB11201320044220,20132,EK201830017083,20183
SB11201310009272,20131,EK201830017110,20183
SB11201220321954,20122,EK201830017126,20183
SB11201320050040,20132,EK201830017144,20183
SB11201320306382,20132,EK201830017170,20183
SB11201320248000,20132,EK201830017177,20183
SB11201220327560,20122,EK201830017197,20183
SB11201120328602,20112,EK201830017387,20183
SB11201320241882,20132,EK201830017395,20183
SB1120072377049225,20072,EK201830017409,20183
SB11201120358247,20112,EK201830017426,20183
SB11201220360069,20122,EK201830017444,20183
SB11201310005159,20131,EK201830017452,20183
SB11201320432065,20132,EK201830017567,20183
SB1120082123832837,20082,EK201830017605,20183
SB11201020508013,20102,EK201830017615,20183
SB1120092305980555,20092,EK201830018045,20183
SB11201320461429,20132,EK201830018068,20183
SB11201120348504,20112,EK201830018073,20183
SB1120092293518750,20092,EK201830018124,20183
SB11201310009828,20131,EK201830018137,20183
SB11201220362368,20122,EK201830018141,20183
SB1120022124290827,20022,EK201830018159,20183
SB11201320004446,20132,EK201830018173,20183
SB11201220314956,20122,EK201830018244,20183
SB11201220491713,20122,EK201830018328,20183
SB11201320088896,20132,EK201830018337,20183
SB11201320052039,20132,EK201830018339,20183
SB11201220352118,20122,EK201830018398,20183
SB11201210055900,20121,EK201830018418,20183
SB1120012110896897,20012,EK201830018423,20183
SB1120062117756710,20062,EK201830018454,20183
SB11201220289449,20122,EK201830018467,20183
SB11201420157567,20142,EK201830018493,20183
SB11201020495178,20102,EK201830018500,20183
SB11201110050103,20111,EK201830018558,20183
SB11201420389565,20142,EK201830018601,20183
SB11201020060795,20102,EK201830018605,20183
SB11201220316690,20122,EK201830018650,20183
SB11201310005247,20131,EK201830018732,20183
SB11201020478393,20102,EK201830018747,20183
SB11201320249975,20132,EK201830018816,20183
SB11201420048840,20142,EK201830018824,20183
SB11201320513732,20132,EK201830018840,20183
SB112007239813707,20072,EK201830018864,20183
SB1120082220129133,20082,EK201830018874,20183
SB1120082397990323,20082,EK201830018963,20183
SB1120062232983730,20062,EK201830018980,20183
SB11201020310299,20102,EK201830018984,20183
SB1120071112863613,20071,EK201830019014,20183
SB11201420273306,20142,EK201830019033,20183
SB11201220546734,20122,EK201830019041,20183
SB1120072322450882,20072,EK201830019059,20183
SB1120072075793031,20072,EK201830019121,20183
SB11201210054726,20121,EK201830019132,20183
SB1120082348599273,20082,EK201830019160,20183
SB1120062193799450,20062,EK201830019190,20183
SB11201120297723,20112,EK201830019195,20183
SB11201220193203,20122,EK201830019202,20183
SB11201320242799,20132,EK201830019212,20183
SB1120082418439679,20082,EK201830019290,20183
SB1120012377407290,20012,EK201830019317,20183
SB11201320576754,20132,EK201830019340,20183
SB11201220463845,20122,EK201830019345,20183
SB11201020544745,20102,EK201830019350,20183
SB1120072389029080,20072,EK201830019358,20183
SB1120062016236251,20062,EK201830019424,20183
SB11201320082677,20132,EK201830019430,20183
SB11201120477869,20112,EK201830019438,20183
SB11201120304482,20112,EK201830019454,20183
SB11201120461900,20112,EK201830019481,20183
SB11201320004074,20132,EK201830019482,20183
SB11201320004097,20132,EK201830019517,20183
SB11201320221981,20132,EK201830019538,20183
SB11201120377447,20112,EK201830019612,20183
SB11201220322609,20122,EK201830019625,20183
SB11201320105854,20132,EK201830019671,20183
SB11201020184004,20102,EK201830019679,20183
SB11201320037447,20132,EK201830019686,20183
SB11201220173998,20122,EK201830019710,20183
SB11201320164014,20132,EK201830019711,20183
SB112009222838365,20092,EK201830019725,20183
SB11201320037619,20132,EK201830019734,20183
SB1120082285356263,20082,EK201830019742,20183
SB11201310011962,20131,EK201830019776,20183
SB11201120321739,20112,EK201830019784,20183
SB11201320014070,20132,EK201830019802,20183
SB1120072373973785,20072,EK201830019832,20183
SB11201310003490,20131,EK201830019834,20183
SB1120072256412887,20072,EK201830019843,20183
SB11201320009122,20132,EK201830019871,20183
SB11201010044264,20101,EK201830019876,20183
SB11201020515826,20102,EK201830019881,20183
SB11201220319745,20122,EK201830019886,20183
SB11201310022302,20131,EK201830019887,20183
SB1120072106920245,20072,EK201830019898,20183
SB11201220359157,20122,EK201830019901,20183
SB1120082429634917,20082,EK201830019910,20183
SB1120002269154151,20002,EK201830019933,20183
SB11201120332796,20112,EK201830019939,20183
SB11201320084527,20132,EK201830019952,20183
SB11201320070521,20132,EK201830019962,20183
SB11201120055771,20112,EK201830019975,20183
SB11201320153282,20132,EK201830019980,20183
SB11201020293666,20102,EK201830019987,20183
SB11201510029924,20151,EK201830019992,20183
SB11201220344077,20122,EK201830019996,20183
SB11201310013166,20131,EK201830020006,20183
SB11201220252132,20122,EK201830020007,20183
SB11201120026148,20112,EK201830020008,20183
SB112009212599515,20092,EK201830020031,20183
SB11201220334038,20122,EK201830020034,20183
SB11201320177243,20132,EK201830020036,20183
SB1120082062046868,20082,EK201830020114,20183
SB11201320245234,20132,EK201830020117,20183
SB11201120249127,20112,EK201830020120,20183
SB11201320245573,20132,EK201830020125,20183
SB11201320066679,20132,EK201830020127,20183
SB11201120352902,20112,EK201830020128,20183
SB112009240057164,20092,EK201830020145,20183
SB1120092311191123,20092,EK201830020150,20183
SB11201220290257,20122,EK201830020182,20183
SB1120072021978262,20072,EK201830020202,20183
SB11201420001291,20142,EK201830020206,20183
SB11201020468096,20102,EK201830020211,20183
SB11201020321429,20102,EK201830020220,20183
SB11201120580335,20112,EK201830020228,20183
SB11201320145824,20132,EK201830020229,20183
SB11201320293744,20132,EK201830020244,20183
SB11201320584229,20132,EK201830020247,20183
SB1120082305930013,20082,EK201830020252,20183
SB11201010021786,20101,EK201830020265,20183
SB11201410017885,20141,EK201830020269,20183
SB11201220321753,20122,EK201830020272,20183
SB11201220290650,20122,EK201830020286,20183
SB11201320254759,20132,EK201830020291,20183
SB11201120317595,20112,EK201830020293,20183
SB11201320161541,20132,EK201830020304,20183
SB11201120308264,20112,EK201830020308,20183
SB11201320066369,20132,EK201830020322,20183
SB11201220320532,20122,EK201830020380,20183
SB11201310080187,20131,EK201830020382,20183
SB1120082079743158,20082,EK201830020385,20183
SB11201220313971,20122,EK201830020386,20183
SB11201320149895,20132,EK201830020405,20183
SB11201020355600,20102,EK201830020407,20183
SB11201420159327,20142,EK201830020411,20183
SB11201220365126,20122,EK201830020416,20183
SB11201410014283,20141,EK201830020424,20183
SB11201210057081,20121,EK201830020426,20183
SB11201020318977,20102,EK201830020430,20183
SB1120062045381151,20062,EK201830020431,20183
SB1120062124240343,20062,EK201830020451,20183
SB11201320483832,20132,EK201830020460,20183
SB11201020025490,20102,EK201830020493,20183
SB11201420393856,20142,EK201830020497,20183
SB1120062182974634,20062,EK201830020501,20183
SB11201420102284,20142,EK201830020510,20183
SB1120092412458274,20092,EK201830020512,20183
SB11201220298352,20122,EK201830020514,20183
SB11201010046290,20101,EK201830020517,20183
SB1120022153074067,20022,EK201830020528,20183
SB1120082193950372,20082,EK201830020531,20183
SB11201320462509,20132,EK201830020612,20183
SB11201120312891,20112,EK201830020615,20183
SB11201110050708,20111,EK201830020620,20183
SB11201220361302,20122,EK201830020624,20183
SB11201420557953,20142,EK201830020645,20183
SB11201320093621,20132,EK201830020651,20183
SB11201220327493,20122,EK201830020661,20183
SB11201420125582,20142,EK201830020674,20183
SB11201110050883,20111,EK201830020684,20183
SB11201320063116,20132,EK201830020721,20183
SB11201220467085,20122,EK201830020723,20183
SB11201320326809,20132,EK201830020729,20183
SB11201320073400,20132,EK201830020736,20183
SB11201320558590,20132,EK201830020753,20183
SB11201420172943,20142,EK201830020762,20183
SB11201310027717,20131,EK201830020764,20183
SB11201420033417,20142,EK201830020772,20183
SB11201220346191,20122,EK201830020777,20183
SB11201220321940,20122,EK201830020781,20183
SB11201320093451,20132,EK201830020886,20183
SB11201220321191,20122,EK201830020891,20183
SB11201220323126,20122,EK201830020910,20183
SB11201320461559,20132,EK201830020912,20183
SB11201320082686,20132,EK201830020921,20183
SB11201420399681,20142,EK201830020927,20183
SB11201320090635,20132,EK201830020932,20183
SB1120062013020387,20062,EK201830020952,20183
SB11201010100982,20101,EK201830020997,20183
SB11201320300835,20132,EK201830021010,20183
SB1120062279899983,20062,EK201830021013,20183
SB11201320188135,20132,EK201830021020,20183
SB11201020331701,20102,EK201830021033,20183
SB11201420314875,20142,EK201830021048,20183
SB11201320026064,20132,EK201830021054,20183
SB11201420409047,20142,EK201830021056,20183
SB11201410002024,20141,EK201830021058,20183
SB11201320062827,20132,EK201830021059,20183
SB11201320196394,20132,EK201830021062,20183
SB11201120014088,20112,EK201830021080,20183
SB11201220311274,20122,EK201830021194,20183
SB11201510030044,20151,EK201830021197,20183
SB11201220564047,20122,EK201830021209,20183
SB11201420089492,20142,EK201830021210,20183
SB11201310007802,20131,EK201830021337,20183
SB11201210059634,20121,EK201830021350,20183
SB11201320057676,20132,EK201830021406,20183
SB11201420181419,20142,EK201830021431,20183
SB11201320527834,20132,EK201830021435,20183
SB11201220364151,20122,EK201830021502,20183
SB11201320046355,20132,EK201830021539,20183
SB11201320242811,20132,EK201830021545,20183
SB11201020354595,20102,EK201830021549,20183
SB11201320252150,20132,EK201830021553,20183
SB11201320027970,20132,EK201830021562,20183
SB11201220199749,20122,EK201830021570,20183
SB1120062175609775,20062,EK201830021576,20183
SB11201220311233,20122,EK201830021594,20183
SB11201320136036,20132,EK201830021604,20183
SB1120022086662420,20022,EK201830021620,20183
SB11201320159066,20132,EK201830021630,20183
SB11201320522424,20132,EK201830021634,20183
SB11201120336358,20112,EK201830021667,20183
SB11201310074243,20131,EK201830021693,20183
SB1120092256700689,20092,EK201830021698,20183
SB11201420336824,20142,EK201830021705,20183
SB11201220331961,20122,EK201830021807,20183
SB11201420291883,20142,EK201830021811,20183
SB11201320076187,20132,EK201830021838,20183
SB11201220320981,20122,EK201830021843,20183
SB11201120360184,20112,EK201830021849,20183
SB11201310070041,20131,EK201830021856,20183
SB1120072397941628,20072,EK201830021866,20183
SB1120082244506295,20082,EK201830021869,20183
SB11201310012401,20131,EK201830021871,20183
SB11201320196265,20132,EK201830021895,20183
SB11201510027680,20151,EK201830021900,20183
SB11201120299872,20112,EK201830021908,20183
SB11201320436323,20132,EK201830021913,20183
SB1120092479259418,20092,EK201830021925,20183
SB1120082284684826,20082,EK201830021926,20183
SB11201220255445,20122,EK201830021929,20183
SB11201310015392,20131,EK201830022083,20183
SB11201320308994,20132,EK201830022112,20183
SB11201220365815,20122,EK201830022121,20183
SB11201320013480,20132,EK201830022126,20183
SB1120062110272287,20062,EK201830022151,20183
SB11201220477145,20122,EK201830022154,20183
SB11201410011621,20141,EK201830022157,20183
SB11201310006706,20131,EK201830022169,20183
SB11201420463020,20142,EK201830022179,20183
SB1120072144183139,20072,EK201830022180,20183
SB1120082081741183,20082,EK201830022223,20183
SB11201320310497,20132,EK201830022226,20183
SB11201420030262,20142,EK201830022228,20183
SB11201120320715,20112,EK201830022270,20183
SB11201210057031,20121,EK201830022283,20183
SB11201220360921,20122,EK201830022289,20183
SB11201220357815,20122,EK201830022292,20183
SB112008211419281,20082,EK201830022315,20183
SB11201320544828,20132,EK201830022319,20183
SB11201420065377,20142,EK201830022320,20183
SB11201420102135,20142,EK201830022409,20183
SB11201320255551,20132,EK201830022411,20183
SB11201320204893,20132,EK201830022431,20183
SB11201420379356,20142,EK201830022454,20183
SB11201120336370,20112,EK201830022485,20183
SB11201320462515,20132,EK201830022502,20183
SB11201220040552,20122,EK201830022506,20183
SB11201320258734,20132,EK201830022520,20183
SB11201420238111,20142,EK201830022535,20183
SB11201320566149,20132,EK201830022561,20183
SB11201220310674,20122,EK201830022570,20183
SB11201220335327,20122,EK201830022580,20183
SB11201320223991,20132,EK201830022591,20183
SB11201320017802,20132,EK201830022598,20183
SB11201020013973,20102,EK201830022618,20183
SB11201020327575,20102,EK201830022619,20183
SB11201320472772,20132,EK201830022664,20183
SB112008231054424,20082,EK201830022691,20183
SB11201420029611,20142,EK201830022692,20183
SB11201320462869,20132,EK201830022697,20183
SB11201320006613,20132,EK201830022710,20183
SB1120072181631366,20072,EK201830022726,20183
SB11201220011098,20122,EK201830022738,20183
SB11201320078615,20132,EK201830022771,20183
SB1120032101699735,20032,EK201830022779,20183
SB11201220326499,20122,EK201830022795,20183
SB11201420523445,20142,EK201830022807,20183
SB11201020354170,20102,EK201830022830,20183
SB11201120282599,20112,EK201830022844,20183
SB11201020287419,20102,EK201830022863,20183
SB11201220406633,20122,EK201830022865,20183
SB11201320215055,20132,EK201830022890,20183
SB11201320501367,20132,EK201830022895,20183
SB11201220314137,20122,EK201830022901,20183
SB11201220281262,20122,EK201830022953,20183
SB11201220321686,20122,EK201830022961,20183
SB11201420287837,20142,EK201830022970,20183
SB11201410006720,20141,EK201830022971,20183
SB1120082064471615,20082,EK201830022972,20183
SB11201110031923,20111,EK201830022988,20183
SB11201320012601,20132,EK201830022992,20183
SB11201320012875,20132,EK201830023009,20183
SB1120071010805094,20071,EK201830023027,20183
SB11201410012838,20141,EK201830023046,20183
SB11201320322963,20132,EK201830023111,20183
SB11201120319855,20112,EK201830023114,20183
SB11201220327565,20122,EK201830023117,20183
SB11201020325696,20102,EK201830023152,20183
SB11201420045852,20142,EK201830023153,20183
SB11201220321859,20122,EK201830023169,20183
SB11201220342170,20122,EK201830023172,20183
SB11201210060170,20121,EK201830023177,20183
SB11201220255610,20122,EK201830023185,20183
SB11201320151999,20132,EK201830023191,20183
SB11201020288244,20102,EK201830023202,20183
SB11201020336629,20102,EK201830023203,20183
SB11201310002713,20131,EK201830023285,20183
SB11201220287885,20122,EK201830023289,20183
SB11201320465634,20132,EK201830023300,20183
SB11201220290687,20122,EK201830023301,20183
SB11201120404918,20112,EK201830023306,20183
SB11201420071186,20142,EK201830023319,20183
SB11201420511065,20142,EK201830023333,20183
SB1120092311296897,20092,EK201830023335,20183
SB11201120312711,20112,EK201830023343,20183
SB11201310004373,20131,EK201830023359,20183
SB11201320010929,20132,EK201830023371,20183
SB11201220348674,20122,EK201830023397,20183
SB112007201676017,20072,EK201830023399,20183
SB11201220333600,20122,EK201830023411,20183
SB11201320092984,20132,EK201830023413,20183
SB11201020298802,20102,EK201830023415,20183
SB11201320335657,20132,EK201830023425,20183
SB11201310009758,20131,EK201830023432,20183
SB1120072115811210,20072,EK201830023444,20183
SB11201020117788,20102,EK201830023448,20183
SB11201120298407,20112,EK201830023457,20183
SB11201010070925,20101,EK201830023461,20183
SB11201420037171,20142,EK201830023468,20183
SB1120092126360761,20092,EK201830023471,20183
SB1120082123900351,20082,EK201830023493,20183
SB11201320026613,20132,EK201830023516,20183
SB11201320339894,20132,EK201830023518,20183
SB11201020332715,20102,EK201830023523,20183
SB1120092156354359,20092,EK201830023527,20183
SB11201410002086,20141,EK201830023546,20183
SB11201320080347,20132,EK201830023563,20183
SB11201320084670,20132,EK201830023564,20183
SB11201320185687,20132,EK201830023653,20183
SB112008214613679,20082,EK201830023676,20183
SB112003219667466,20032,EK201830023717,20183
SB11201320321613,20132,EK201830023726,20183
SB11201410008161,20141,EK201830023732,20183
SB11201020314093,20102,EK201830023737,20183
SB11201310012483,20131,EK201830023738,20183
SB112008210850261,20082,EK201830023744,20183
SB11201120311256,20112,EK201830023756,20183
SB11201220335163,20122,EK201830023765,20183
SB11201320070783,20132,EK201830023766,20183
SB11201220321016,20122,EK201830023777,20183
SB11201020578814,20102,EK201830023784,20183
SB11201220375801,20122,EK201830023806,20183
SB11201010031866,20101,EK201830023823,20183
SB11201010068801,20101,EK201830023827,20183
SB11201020302340,20102,EK201830023831,20183
SB11201320026902,20132,EK201830023848,20183
SB11201320023478,20132,EK201830023850,20183
SB11201220339976,20122,EK201830023856,20183
SB11201320247960,20132,EK201830023864,20183
SB11201020300518,20102,EK201830023867,20183
SB11201410000285,20141,EK201830023882,20183
SB11201410014297,20141,EK201830023884,20183
SB11201420518129,20142,EK201830023894,20183
SB112007103537632,20071,EK201830023904,20183
SB11201120323912,20112,EK201830023908,20183
SB11201020360518,20102,EK201830023915,20183
SB11201120462750,20112,EK201830023916,20183
SB11201320238121,20132,EK201830023945,20183
SB11201410070089,20141,EK201830023947,20183
SB11201120309693,20112,EK201830023958,20183
SB112000103539615,20001,EK201830023983,20183
SB11201120324334,20112,EK201830023995,20183
SB11201220334998,20122,EK201830024015,20183
SB11201410023480,20141,EK201830024022,20183
SB11201420084031,20142,EK201830024027,20183
SB11201220335271,20122,EK201830024029,20183
SB11201320004987,20132,EK201830024030,20183
SB11201420444048,20142,EK201830024043,20183
SB11201220283135,20122,EK201830024074,20183
SB11201220337208,20122,EK201830024079,20183
SB11201020093870,20102,EK201830024087,20183
SB1120062046018864,20062,EK201830024153,20183
SB11201320022324,20132,EK201830024168,20183
SB11201320291293,20132,EK201830024169,20183
SB11201210085753,20121,EK201830024171,20183
SB11201220330163,20122,EK201830024191,20183
SB11201120094887,20112,EK201830024328,20183
SB11201220341942,20122,EK201830024342,20183
SB11201220312017,20122,EK201830024346,20183
SB11201220340924,20122,EK201830024378,20183
SB11201320350706,20132,EK201830024393,20183
SB11201320415072,20132,EK201830024397,20183
SB11201410062196,20141,EK201830024401,20183
SB11201020364228,20102,EK201830024414,20183
SB1120082003057753,20082,EK201830024432,20183
SB11201220251960,20122,EK201830024453,20183
SB1120082438419440,20082,EK201830024458,20183
SB1120071033039954,20071,EK201830024475,20183
SB11201320002978,20132,EK201830024489,20183
SB11201220357836,20122,EK201830024497,20183
SB11201320030654,20132,EK201830024527,20183
SB11201320462988,20132,EK201830024712,20183
SB11201120158526,20112,EK201830024764,20183
SB1120062470754336,20062,EK201830024774,20183
SB11201220508798,20122,EK201830024777,20183
SB11201320025372,20132,EK201830024785,20183
SB11201210036015,20121,EK201830024881,20183
SB11201220290358,20122,EK201830024887,20183
SB11201320340880,20132,EK201830024925,20183
SB11201320095978,20132,EK201830024975,20183
SB11201420034973,20142,EK201830024979,20183
SB11201420319510,20142,EK201830025033,20183
SB11201320280611,20132,EK201830025034,20183
SB11201320342361,20132,EK201830025038,20183
SB11201320227107,20132,EK201830025066,20183
SB1120012195259780,20012,EK201830025068,20183
SB11201320299312,20132,EK201830025117,20183
SB11201020279829,20102,EK201830025133,20183
SB11201210056858,20121,EK201830025140,20183
SB1120072034256876,20072,EK201830025151,20183
SB1120082059367364,20082,EK201830025153,20183
SB11201220336710,20122,EK201830025173,20183
SB11201220256471,20122,EK201830025232,20183
SB11201320248049,20132,EK201830025242,20183
SB11201320083168,20132,EK201830025248,20183
SB11201310074534,20131,EK201830025250,20183
SB11201020291967,20102,EK201830025255,20183
SB11201120355469,20112,EK201830025274,20183
SB11201220334043,20122,EK201830025288,20183
SB1120082318199756,20082,EK201830025289,20183
SB11201320032992,20132,EK201830025308,20183
SB11201210035407,20121,EK201830025311,20183
SB11201310004147,20131,EK201830025327,20183
SB11201020522712,20102,EK201830025340,20183
SB11201220320417,20122,EK201830025342,20183
SB11201020364063,20102,EK201830025348,20183
SB11201220319926,20122,EK201830025372,20183
SB11201020349454,20102,EK201830025374,20183
SB11201220357642,20122,EK201830025388,20183
SB11201120337690,20112,EK201830025396,20183
SB11201320006987,20132,EK201830025514,20183
SB11201420159004,20142,EK201830025527,20183
SB1120062262982294,20062,EK201830025539,20183
SB11201310028169,20131,EK201830025580,20183
SB11201320263468,20132,EK201830025644,20183
SB11201320110266,20132,EK201830026085,20183
SB11201220323218,20122,EK201830026096,20183
SB11201320293870,20132,EK201830026124,20183
SB11201320040644,20132,EK201830026136,20183
SB11201120333756,20112,EK201830026153,20183
SB1120092286622699,20092,EK201830026196,20183
SB11201320093243,20132,EK201830026248,20183
SB11201220465920,20122,EK201830026275,20183
SB11201310009117,20131,EK201830026280,20183
SB1120082168851472,20082,EK201830026300,20183
SB11201110113398,20111,EK201830026311,20183
SB11201320138886,20132,EK201830026324,20183
SB11201320161311,20132,EK201830026331,20183
SB11201120240060,20112,EK201830026348,20183
SB11201310009112,20131,EK201830026378,20183
SB11201320193296,20132,EK201830026411,20183
SB11201310024178,20131,EK201830026415,20183
SB11201220005505,20122,EK201830026428,20183
SB11201220340148,20122,EK201830026446,20183
SB11201310012309,20131,EK201830026447,20183
SB11201120318369,20112,EK201830026448,20183
SB1120062307270988,20062,EK201830026458,20183
SB11201410002862,20141,EK201830026486,20183
SB11201120319507,20112,EK201830026518,20183
SB11201220570089,20122,EK201830026569,20183
SB11201410018152,20141,EK201830026582,20183
SB11201410027411,20141,EK201830026595,20183
SB11201320194709,20132,EK201830026596,20183
SB11201220504577,20122,EK201830026603,20183
SB11201220327750,20122,EK201830026604,20183
SB11201320244068,20132,EK201830026615,20183
